albeit	aczkolwiek
groin	krocze,pachwina
fling	rzucać
viscus	trzewia
viscous	lepki
rivet	nit
staple	zszywka
robust	rozrosły,silny
strife	waśń,spór
sodden	przemoczony
tendril	wąs
pus	ropa,ropa z rany
denim	jeansowy
convex	wypukły
summit	szczyt
garbled	zniekształcony
muddled	pomieszane
slurred	niewyraźnie
mumble	bełkot
brash	arogancki,bezczelny
scowl	groźne spojrzenie
pinched	szczypanie
vile	podły
wretch	nieszczęśnik
gawk	gapić się
slump	krach, kryzys
slumps	spadki
drawn	wynędzniały
quiver	kołczan
shin	piszczel
crutch	krocze
tendon	ścięgno
mongrel	kundel
incurs	ponosi
utter	zupełny
vacant	pusty
prod	szturchać
rank-smell	cuchnący odór
arthritis	artretyzm,zapalenie stawów
suffocate	dusić się
delusion	urojenie
delusional	pierdolnięty,cierpiący na urojenia
abundance	dostatek,obfitość
shenanigan	sztuczka,trik
campaigner	działacz
voracious	nienasycony,żarłoczny	The bum gives you a voriacious stare.
telltale	wskaźnik,urządzenie ostrzegawcze
swelling	obrzęk
arm brace	proteza,uchwyt na rękę do pistoletu
to devise	wymyślić
iridescence	opalizowanie,mienienie się
denounce	potępiać
to frolic	igrać,baraszkować
derelict	włóczęga,bezdomny
threadbare	przechodzony
seclusion	odosobnienie
mischievous	złośliwy
incoherent	niespójny
misarticulate	błednie sformułować
jumbled up	pomieszane
tenement	kamienica
distorted	zniekształcony
desolate	opuszczony
enclosure	załącznik
malicious smile	złośliwy uśmiech
werebeast	bestia,-ołak
quarrelsome	kłótliwy
inebriation	pijaństwo
slack-jawed	opadnięta szczęka (ze zdumienia)
illegible	nieczytelny
chequered	w kratkę
tellingly	wymownie
to flatter sb	schlebiać komuś
flattered	zaszczycony (z komplementu)
speaking volumes	głośno mówiąc
compound fracture	złamanie złożone
burial receptacle	pochówek
deterioration of	pogorszenie się
dsdadssadas	dsadsadsaads
