seclusion	odosobnienie
mishievous	złośliwy
convex	wypukły
summit	szczyt
incoheren	niespójny
misarticulate	błednie sformułować
garbled		zniekształcony
muddled	pomieszane
slurred	niewyraźnie
jumbled up	pomieszane
mumble	bełkot
scowl	groźne spojrzenie
speaking volumes	głośno mówiąc
prodded	szturchanie
pinched	szczypanie
vile	podły
wretch	nieszczęśnik
distorted	zniekształcony
gawk	gapić się
desolate	opuszczony
slump	osunąć
slumps	spadki
enclosure	załącznik
malicious smile	złośliwy uśmiech
werebeast	bestia, -ołak
drawn	pociągnięty
quarrelsome	kłótliwy
compound fracture	złamanie złożone
inebriation	pijaństwo
quiver	kołczan
shin	piszczel
burial	receptacle	pochówek
crutch	krocze
tendon	ścięgno
deterioration of	pogorszenie się
mongrel	kundel
incurs	ponosi
slack-jawed	opadnięta szczęka (ze zdumienia)
utter	zupełny
vacant	pusty
